LAT;LONG;PortName;UN-PortCode
15.4;73.7833;Marmugao (Marmagao);INMRM
43.35;5.32;Marseille;FRMRS
18.1297;-67.1703;Mayagüez;PRMZ1
23.4;-106.4;Mazatlan;MXMZT
-37.8167;144.9667;Melbourne;AUMEL
35.2922;-2.9386;Melilla (technical stop);ESMLN
36.7881;34.6481;Mersin;TRMER
38.2131;15.5528;Messina, Sicily;ITMSN
25.7785;-80.17;Miami;USMIA
38.2218;15.2377;Milazzo;ITMLZ
-44.4;167.5;Milford Sound;NZMFN
36.7438;24.4252;Milos;GRMLO
16.8833;-25.0;Mindelo;CVMIN
24.7833;125.3;Miyakojima;JPMMY
31.9074;131.4232;Miyazaki, Miyazaki;JPKMI
62.7391;7.1515;Molde;NOMOL
-4.0574;39.6627;Mombasa;KEMBA
36.6833;23.05;Monemvasia;GRMON
45.7889;13.542;Monfalcone;ITMNF
43.735;7.4182;Monte Carlo;MCMCM
18.4708;-77.9231;Montego Bay;JMMBJ
-34.8742;-56.1629;Montevideo;UYMVD
45.5172;-73.5499;Montreal;CAMTR
-17.5023;-149.821;Moorea;PFMOZ
36.7447;-3.525;Motril;ESMOT
5.0285;115.0545;Muara;BNMUA
4.3806;28.8919;Mudanya;TRMUD
54.5;13.5833;Mukran;DEMUK
18.9667;72.8167;Mumbai (ex Bombay);INBOM
68.933;33.1131;Murmansk;RUMMK
42.326;140.9945;Muroran;JPMUR
23.6152;58.5912;Muscat;OMMCT
37.45;25.3333;Mykonos;GRJMK
-20.2483;169.7747;Mystery Island;VUMYI
37.5667;22.8;Nafplion (Nauplia);GRNAF
32.7046;129.8359;Nagasaki;JPNGS
35.1434;136.9167;Nagoya, Aichi;JPNGO
26.2334;127.6747;Naha, Okinawa;JPNAH
26.25;127.827;Nakagusuku / Okinawa;JPNAK
60.1419;-45.2433;Nanortalik;GLJNN
22.608;113.69;Nansha Pt;CNNSA
-39.4667;176.9;Napier;NZNPE
40.8333;14.25;Naples;ITNAP
68.435;17.4375;Narvik;NONVK
25.0833;-77.35;Nassau;BSNAS
21.9667;-159.3667;Nawiliwili, Kauai;USNIJ
37.1;25.3833;Naxos;GRJNX
42.65;27.7333;Nessebar;BGNES
12.9278;74.8208;New Mangalore;INNML
29.9537;-90.0778;New Orleans;USMSY
-39.05;174.0167;New Plymouth;NZNPL
40.7;-74.0;New York;USNYC
54.9667;-1.6;Newcastle upon Tyne;GBNCL
-32.9186;151.7741;Newcastle, New South Wales;AUNTL
55.9797;-3.2114;Newhaven (Edinburgh);GBNWF
41.4856;-71.3192;Newport, RI;USNPT
12.2467;109.197;Nha Trang;VNNHA
43.7011;7.2744;Nice;FRNCE
37.9233;139.0459;Niigata;JPKIJ
61.905;5.985;Nordfjordeid;NONFD
36.8468;-76.2851;Norfolk;USORF
-13.3333;48.25;Nosy-Be;MGNOS
-22.2667;166.45;Nouméa;NCNOU
44.7167;37.8;Novorossiysk;RUNOV
-21.1333;-175.2;Nuku'alofa;TOTBU
64.1833;-51.75;Nuuk (Godthaab);GLGOH
78.9333;11.95;Ny-Ålesund;SJNYA
58.9;17.95;Nynashamn (Stockholm);SENYN
41.45;-70.5667;Oak Bluffs;USOB2
-46.8989;168.1278;Oban, NZ;NZOBN
56.4148;-5.4688;Oban, UK;GBOBA
18.4107;-77.1144;Ocho Rios;JMOCJ
46.4811;30.717;Odessa;UAODS
22.4742;69.0942;Okha;INOKH
40.9167;9.5167;Olbia (Sardinia);ITOLB
61.8358;6.8084;Olden;NOOLD
12.5373;-70.0327;Oranjestad;AWORJ
34.6667;135.5;Osaka;JPOSA
59.9123;10.75;Oslo;NOOSL
51.2;2.9167;Ostend (Bruges);BEOST
43.1945;141.0037;Otaru;JPOTR
60.3825;6.1992;Oystese;NOOYS
61.99;-49.6608;Paamiut (Frederikshåb);GLFRE
2.05;117.7;Padang Bai, Bali;IDSUA
-14.2689;-170.6827;Pago Pago;ASPPG
41.85;3.1333;Palamos;ESPAL
41.1817;9.3858;Palau, Sardinia;ITPAU
38.1274;13.3663;Palermo;ITPMO
39.553;2.6305;Palma de Mallorca;ESPMI
9.04;-79.4;Panama Canal Transit;PAPCN
-17.5444;-149.5761;Papeete, Tahiti;PFPPT
-25.5167;-48.5;Paranaguá;BRPNG
-23.2194;-44.7183;Parati;BRPAT
-2.6239;-56.7336;Parintins;BRPIN
37.0833;25.15;Paros;GRPAS
41.11;29.08;Passing Bosporus;TRBOS
37.3167;26.55;Patmos;GRPMS
54.2344;-4.7044;Peel, Isle of Man;IMPEL
5.4181;100.3468;Penang;MYPEN
30.4106;-87.2214;Pensacola, FL;USPNS
-31.95;115.85;Perth;AUPER
53.0617;158.582;Petropavlovsk-Kamchatskiy;RUPKC
39.9523;-75.1625;Philadelphia, PA;USPHL
18.0167;-63.0333;Philipsburg;SXPHI
10.43255;107.07905;Phu My;VNPHU
10.2229;103.9575;Phu Quoc;VNPQC
7.9739;98.3439;Phuket;THHKT
24.3;-110.3167;Pichilingue (La Paz), Bahia Ca.. [error];MXPIC
-41.2917;174.0128;Picton;NZPCN
37.9333;23.6167;Piraeus (Athens);GRPIR
50.4;-4.1167;Plymouth;GBPLY
36.01667;129.42294;Pohang;KRKPO
6.9778;158.2058;Pohnpei;FMPOI
16.2411;-61.5331;Pointe-a-Pitre;GPPTP
17.9711;-66.6256;Ponce;PRPSE
37.7333;-25.6667;Ponta Delgada;PTPDL
49.2436;-124.8206;Port Alberni, British Columbia;CAPAB
11.6686;92.7629;Port Blair;INIXZ
28.4083;-80.61;Port Canaveral;USPCV
-33.9624;25.6232;Port Elizabeth;ZAPLZ
13.0;-61.2167;Port Elizabeth, Bequia;VCBQU
26.1;-80.1333;Port Everglades;USPEF
3.0;101.4;Port Kelang;MYPKG
-20.1568;57.5017;Port Louis;MUPLU
-20.1568;57.5017;Port Louis (Anchorage);MU074
-9.4633;147.193;Port Moresby;PGPOM
25.286;55.274;Port Rashid (Dubai);AEPRA
31.26;32.2861;Port Said;EGPSD
-51.704;-57.8598;Port Stanley;CAPST
-51.704;-57.8598;Port Stanley;FKPSY
42.5346;3.1205;Port Vendres;FRXPV
-4.6319;55.4731;Port Victoria;SCPOV
-17.7342;168.3209;Port Vila;VUVLI
10.65;-61.5167;Port-of-Spain;TTPOS
37.1333;-8.5333;Portimao;PTPRM
50.5469;-2.436;Portland, GB;GBPTL
43.6591;-70.2567;Portland, ME;USPWM
-27.1539;-48.5764;Porto Belo;BRPBO
40.8382;8.4012;Porto Torres;ITPTO
41.591;9.2796;Porto Vecchio;FRPVO
42.8112;10.3144;Portoferraio;ITPFE
44.303;9.212;Portofino;ITPTF
45.5166;13.58;Portorož;SIPOW
57.4153;-6.1999;Portree;GBPRT
50.817;-1.0726;Portsmouth;GBPME
14.929;-23.5348;Praia;CVRAI
38.7333;-27.0667;Praia da Vitória, Azores;PTPRV
24.6378;-76.1739;Princess Cay (Eleuthera Island);BSELE
21.2667;-89.65;Progreso;MXPGO
41.6753;8.9031;Propriano;FRPRP
-45.4833;-72.8333;Puerto Chacabuco;CLPCH
15.8503;-87.9653;Puerto Cortés (Omoa);HNPCR
27.7833;-17.9;Puerto de la Estaca;ESHIE
28.4833;-13.85;Puerto del Rosario, Fuerteventura;ESFUE
10.0;-83.0333;Puerto Limón;CRLIO
-42.75;-65.0333;Puerto Madryn;ARPMY
10.0094;-83.0844;Puerto Moin;CRPMN
-41.4667;-72.95;Puerto Montt;CLPMC
9.74;118.7443;Puerto Princesa, Palawan;PHPPS
13.9206;-90.7878;Puerto Quetzal;GTPRQ
20.6;-105.2167;Puerto Vallarta;MXPVR
-54.9167;-67.6167;Puerto Williams (Clearance stop);CL072
44.8667;13.8333;Pula;HRPUY
-53.1333;-70.9333;Punta Arenas;CLPUQ
-34.9345;-54.9338;Punta del Este;UYPDP
9.9667;-84.8333;Puntarenas;CRPAS
36.9;21.6833;Pylos;GRPYL
